CCSS Code,CCSS Standard,Mapped Framework,Mapped Code,Mapped Standard / Benchmark
CCSS.RL.5.9,"Compare and contrast stories in the same genre (e.g., mysteries and adventure stories) on their approaches to similar themes and topics.",GSE,5.T.T.1.d,"Compare and contrast stories in the same genre (e.g., mysteries, adventures) from diverse cultures on their approaches to similar themes and topics. (I)"
CCSS.SL.5.1,"Engage effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grade 5 topics and texts, building on others' ideas and expressing their own clearly.",BLOOM,BLOOM.3,Carry out or use a procedure in a given situation
CCSS.SL.5.1,"Engage effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grade 5 topics and texts, building on others' ideas and expressing their own clearly.",TEKS,TEKS.ELAR.5.12(D),(D) compose correspondence that requests information.
CCSS.SL.5.1,"Engage effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grade 5 topics and texts, building on others' ideas and expressing their own clearly.",BEST,BEST.ELA.5.C.2.1,"Present information orally, in a logical sequence, using nonverbal cues, appropriate volume, and clear pronunciation."
CCSS.SL.5.1,"Engage effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grade 5 topics and texts, building on others' ideas and expressing their own clearly.",GSE,5.P.CP.1,**Collaboration** Collaborate with others to accomplish shared goals and projects.
CCSS.SL.5.2,"Summarize a written text read aloud or information presented in diverse media and formats, including visually, quantitatively, and orally.",BLOOM,BLOOM.2.1,"Changing from one form of representation to another (numerical to verbal, e.g.)"
CCSS.SL.5.2,"Summarize a written text read aloud or information presented in diverse media and formats, including visually, quantitatively, and orally.",BLOOM,BLOOM.2.4,Abstracting a general theme or major point(s)
CCSS.SL.5.2,"Summarize a written text read aloud or information presented in diverse media and formats, including visually, quantitatively, and orally.",BLOOM,BLOOM.5.1,Detecting inconsistencies or fallacies within a process or product; determining whether a process or product has internal consistency; detecting the effectiveness of a procedure as it is being implemented
CCSS.SL.5.2,"Summarize a written text read aloud or information presented in diverse media and formats, including visually, quantitatively, and orally.",TEKS,TEKS.ELAR.5.1(A),"(A) listen actively to interpret verbal and non-verbal messages, ask relevant questions, and make pertinent comments"
CCSS.SL.5.2,"Summarize a written text read aloud or information presented in diverse media and formats, including visually, quantitatively, and orally.",TEKS,TEKS.ELAR.5.6(G),(G) evaluate details read to determine key ideas
CCSS.SL.5.2,"Summarize a written text read aloud or information presented in diverse media and formats, including visually, quantitatively, and orally.",BEST,BEST.ELA.5.C.5.1,Arrange multimedia elements to create emphasis and/or clarity in oral or written tasks.
CCSS.SL.5.2,"Summarize a written text read aloud or information presented in diverse media and formats, including visually, quantitatively, and orally.",BEST,BEST.ELA.5.C.5.2,"Use digital writing tools individually or collaboratively to plan, draft, and revise writing."
CCSS.SL.5.2,"Summarize a written text read aloud or information presented in diverse media and formats, including visually, quantitatively, and orally.",BEST,BEST.ELA.5.V.1.3,"Use context clues, figurative language, word relationships, reference materials, and/or background knowledge to determine the meaning of multiple-meaning and unknown words and phrases, appropriate to grade level."
CCSS.SL.5.2,"Summarize a written text read aloud or information presented in diverse media and formats, including visually, quantitatively, and orally.",GSE,5.P.AC.3.d,"Consume and produce multimodal texts, integrating a variety of genres, text features, and craft techniques to influence target audiences and achieve specific purposes. (I/C)"
CCSS.SL.5.3,Summarize the points a speaker makes and explain how each claim is supported by reasons and evidence.,BLOOM,BLOOM.3.1,Applying a procedure to a familiar task
CCSS.SL.5.3,Summarize the points a speaker makes and explain how each claim is supported by reasons and evidence.,TEKS,TEKS.ELAR.5.1(A),"(A) listen actively to interpret verbal and non-verbal messages, ask relevant questions, and make pertinent comments"
CCSS.SL.5.3,Summarize the points a speaker makes and explain how each claim is supported by reasons and evidence.,TEKS,TEKS.ELAR.5.1(B),"(B) follow, restate, and give oral instructions that include multiple action steps"
CCSS.SL.5.3,Summarize the points a speaker makes and explain how each claim is supported by reasons and evidence.,BEST,BEST.ELA.5.C.2.1,"Present information orally, in a logical sequence, using nonverbal cues, appropriate volume, and clear pronunciation."
CCSS.SL.5.3,Summarize the points a speaker makes and explain how each claim is supported by reasons and evidence.,GSE,5.P.ST.2.a,"Develop and apply knowledge of author, audience, and context to discern and establish the purpose of texts being interpreted or constructed and to evaluate the extent to which those texts achieve those purposes. (I/C)"
CCSS.SL.5.4,"Report on a topic or text or present an opinion, sequencing ideas logically and using appropriate facts and relevant, descriptive details to support main ideas or themes; speak clearly at an understandable pace.",BLOOM,BLOOM.3,Carry out or use a procedure in a given situation
CCSS.SL.5.4,"Report on a topic or text or present an opinion, sequencing ideas logically and using appropriate facts and relevant, descriptive details to support main ideas or themes; speak clearly at an understandable pace.",BLOOM,BLOOM.3.2,Applying a procedure to an unfamiliar task
CCSS.SL.5.4,"Report on a topic or text or present an opinion, sequencing ideas logically and using appropriate facts and relevant, descriptive details to support main ideas or themes; speak clearly at an understandable pace.",TEKS,TEKS.ELAR.5.1(C),"(C) give an organized presentation employing eye contact, speaking rate, volume, enunciation, natural gestures, and conventions of language to communicate ideas effectively; and"
CCSS.SL.5.4,"Report on a topic or text or present an opinion, sequencing ideas logically and using appropriate facts and relevant, descriptive details to support main ideas or themes; speak clearly at an understandable pace.",BEST,BEST.ELA.5.F.1.3,Use knowledge of grade-appropriate phonics and word-analysis skills to decode words.
CCSS.SL.5.4,"Report on a topic or text or present an opinion, sequencing ideas logically and using appropriate facts and relevant, descriptive details to support main ideas or themes; speak clearly at an understandable pace.",GSE,5.P.CP.2,**Presentation** Use presentation skills to tailor communication to target audiences for specific purposes.
CCSS.SL.5.5,"Include multimedia components (e.g., graphics, sound) and visual displays in presentations when appropriate to enhance the development of main ideas or themes.",BLOOM,BLOOM.6.2,Devising a procedure for accomplishing some task
CCSS.SL.5.5,"Include multimedia components (e.g., graphics, sound) and visual displays in presentations when appropriate to enhance the development of main ideas or themes.",TEKS,TEKS.ELAR.5.1(C),"(C) give an organized presentation employing eye contact, speaking rate, volume, enunciation, natural gestures, and conventions of language to communicate ideas effectively; and"
CCSS.SL.5.5,"Include multimedia components (e.g., graphics, sound) and visual displays in presentations when appropriate to enhance the development of main ideas or themes.",TEKS,TEKS.ELAR.5.9(F),(F) recognize characteristics of multimodal and digital texts.
CCSS.SL.5.5,"Include multimedia components (e.g., graphics, sound) and visual displays in presentations when appropriate to enhance the development of main ideas or themes.",BEST,BEST.ELA.5.C.2.1,"Present information orally, in a logical sequence, using nonverbal cues, appropriate volume, and clear pronunciation."
CCSS.SL.5.5,"Include multimedia components (e.g., graphics, sound) and visual displays in presentations when appropriate to enhance the development of main ideas or themes.",BEST,BEST.ELA.5.C.5.1,Arrange multimedia elements to create emphasis and/or clarity in oral or written tasks.
CCSS.SL.5.5,"Include multimedia components (e.g., graphics, sound) and visual displays in presentations when appropriate to enhance the development of main ideas or themes.",GSE,5.P.CP.2.b,Integrate modes and genres most appropriate to purpose and audience. (I/C)
CCSS.SL.5.6,"Adapt speech to a variety of contexts and tasks, using formal English when appropriate to task and situation. (See grade 5 Language standards 1 and 3 here for specific expectations.)",BLOOM,BLOOM.3,Carry out or use a procedure in a given situation
CCSS.SL.5.6,"Adapt speech to a variety of contexts and tasks, using formal English when appropriate to task and situation. (See grade 5 Language standards 1 and 3 here for specific expectations.)",TEKS,TEKS.ELAR.5.9(F),(F) recognize characteristics of multimodal and digital texts.
CCSS.SL.5.6,"Adapt speech to a variety of contexts and tasks, using formal English when appropriate to task and situation. (See grade 5 Language standards 1 and 3 here for specific expectations.)",BEST,BEST.ELA.5.C.2.1,"Present information orally, in a logical sequence, using nonverbal cues, appropriate volume, and clear pronunciation."
CCSS.SL.5.6,"Adapt speech to a variety of contexts and tasks, using formal English when appropriate to task and situation. (See grade 5 Language standards 1 and 3 here for specific expectations.)",GSE,5.P.CP.2,**Presentation** Use presentation skills to tailor communication to target audiences for specific purposes.
CCSS.W.5.1,"Write opinion pieces on topics or texts, supporting a point of view with reasons and information.",TEKS,TEKS.ELAR.5.12(C),"(C) compose argumentative texts, including opinion essays, using genre characteristics and craft; and"
CCSS.W.5.1,"Write opinion pieces on topics or texts, supporting a point of view with reasons and information.",BEST,BEST.ELA.5.C.1.3,"Write to make a claim supporting a perspective with logical reasons, relevant evidence from sources, elaboration, and an organizational structure with varied transitions."
CCSS.W.5.1,"Write opinion pieces on topics or texts, supporting a point of view with reasons and information.",GSE,5.T.T.3.c,"<i>Apply opinion techniques to create opinion pieces that introduce the topic, state an opinion about the topic, supply reasons and evidence to support the opinion with linking words (e.g., because, therefore, since, for example) to connect the opinion and reasons, and provide a concluding statement or section. [This progression resumes as argumentative techniques in 6th grade; students will reinforce skills during 5th grade.] (C)"
CCSS.W.5.10,"Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of discipline-specific tasks, purposes, and audiences.",BLOOM,BLOOM.6.3,Inventing a product
CCSS.W.5.10,"Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of discipline-specific tasks, purposes, and audiences.",TEKS,TEKS.ELAR.5.12(B),"(B) compose informational texts, including brief compositions that convey information about a topic, using a clear central idea and genre characteristics and craft"
CCSS.W.5.10,"Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of discipline-specific tasks, purposes, and audiences.",TEKS,TEKS.ELAR.5.12(C),"(C) compose argumentative texts, including opinion essays, using genre characteristics and craft; and"
CCSS.W.5.10,"Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of discipline-specific tasks, purposes, and audiences.",TEKS,TEKS.ELAR.5.12(D),(D) compose correspondence that requests information.
CCSS.W.5.10,"Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of discipline-specific tasks, purposes, and audiences.",BEST,BEST.ELA.5.C.1.2,"Write personal or fictional narratives using a logical sequence of events and demonstrating an effective use of techniques such as dialogue, description, and transitional words and phrases."
CCSS.W.5.10,"Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of discipline-specific tasks, purposes, and audiences.",BEST,BEST.ELA.5.C.1.3,"Write to make a claim supporting a perspective with logical reasons, relevant evidence from sources, elaboration, and an organizational structure with varied transitions."
CCSS.W.5.10,"Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of discipline-specific tasks, purposes, and audiences.",GSE,5.P.EICC.4,"**Writing Processes** Compose a range of texts for a variety of purposes and audiences, flexibly engaging in writing processes to plan, draft, evaluate, revise, and edit texts."
CCSS.W.5.2,Write informative/explanatory texts to examine a topic and convey ideas and information clearly.,BLOOM,BLOOM.6,Put elements together to form a coherent or functional whole; reorganize elements into a new pattern or structure
CCSS.W.5.2,Write informative/explanatory texts to examine a topic and convey ideas and information clearly.,TEKS,TEKS.ELAR.5.12(B),"(B) compose informational texts, including brief compositions that convey information about a topic, using a clear central idea and genre characteristics and craft"
CCSS.W.5.2,Write informative/explanatory texts to examine a topic and convey ideas and information clearly.,BEST,BEST.ELA.5.C.1.4,"Write expository texts about a topic using multiple sources and including an organizational structure, relevant elaboration, and varied transitions."
CCSS.W.5.2,Write informative/explanatory texts to examine a topic and convey ideas and information clearly.,GSE,5.T.T.2.d,"Apply expository techniques that clearly introduce a topic, group paragraphs or sections to develop the topic with facts and other information (e.g., definitions, concrete details, quotations), use precise language, and provide a concluding statement or section.  (C)"
CCSS.W.5.3,"Write narratives to develop real or imagined experiences or events using effective technique, descriptive details, and clear event sequences.",BLOOM,BLOOM.6,Put elements together to form a coherent or functional whole; reorganize elements into a new pattern or structure
CCSS.W.5.3,"Write narratives to develop real or imagined experiences or events using effective technique, descriptive details, and clear event sequences.",TEKS,TEKS.ELAR.5.12(A),"(A) compose literary texts such as personal narratives, fiction, and poetry using genre characteristics and craft"
CCSS.W.5.3,"Write narratives to develop real or imagined experiences or events using effective technique, descriptive details, and clear event sequences.",BEST,BEST.ELA.5.C.1.2,"Write personal or fictional narratives using a logical sequence of events and demonstrating an effective use of techniques such as dialogue, description, and transitional words and phrases."
CCSS.W.5.3,"Write narratives to develop real or imagined experiences or events using effective technique, descriptive details, and clear event sequences.",GSE,5.T.T.1.e,"Apply narrative techniques (e.g., character, setting, conflict, climax, resolution, and dialogue) to develop a real or imagined experience using descriptive details, clear event sequences, and a conclusion. (C)"
CCSS.W.5.4,"Produce clear and coherent writing in which the development and organization are appropriate to task, purpose, and audience. (Grade-specific expectations for writing types are defined in standards 1-3 above.)",BLOOM,BLOOM.2.2,Finding a specific example or illustration of a concept or principle
CCSS.W.5.4,"Produce clear and coherent writing in which the development and organization are appropriate to task, purpose, and audience. (Grade-specific expectations for writing types are defined in standards 1-3 above.)",BLOOM,BLOOM.6.1,Coming up with alternative hypotheses based on criteria
CCSS.W.5.4,"Produce clear and coherent writing in which the development and organization are appropriate to task, purpose, and audience. (Grade-specific expectations for writing types are defined in standards 1-3 above.)",BLOOM,BLOOM.6.3,Inventing a product
CCSS.W.5.4,"Produce clear and coherent writing in which the development and organization are appropriate to task, purpose, and audience. (Grade-specific expectations for writing types are defined in standards 1-3 above.)",TEKS,TEKS.ELAR.5.11(B)(i),"(B) develop drafts into a focused, structured, and coherent piece of writing by: (i) organizing with purposeful structure, including an introduction, transitions, and a conclusion; and"
CCSS.W.5.4,"Produce clear and coherent writing in which the development and organization are appropriate to task, purpose, and audience. (Grade-specific expectations for writing types are defined in standards 1-3 above.)",TEKS,TEKS.ELAR.5.11(B)(ii),"(B) develop drafts into a focused, structured, and coherent piece of writing by: (ii) developing an engaging idea reflecting depth of thought with specific facts and details"
CCSS.W.5.4,"Produce clear and coherent writing in which the development and organization are appropriate to task, purpose, and audience. (Grade-specific expectations for writing types are defined in standards 1-3 above.)",TEKS,TEKS.ELAR.5.11(E),(E) publish written work for appropriate audiences.
CCSS.W.5.4,"Produce clear and coherent writing in which the development and organization are appropriate to task, purpose, and audience. (Grade-specific expectations for writing types are defined in standards 1-3 above.)",BEST,BEST.ELA.K12.EE.5.1,Use the accepted rules governing a specific format to create quality work.
CCSS.W.5.4,"Produce clear and coherent writing in which the development and organization are appropriate to task, purpose, and audience. (Grade-specific expectations for writing types are defined in standards 1-3 above.)",BEST,BEST.ELA.K12.EE.5.3,Use appropriate voice and tone when speaking or writing
CCSS.W.5.4,"Produce clear and coherent writing in which the development and organization are appropriate to task, purpose, and audience. (Grade-specific expectations for writing types are defined in standards 1-3 above.)",GSE,5.P.EICC.4,"**Writing Processes** Compose a range of texts for a variety of purposes and audiences, flexibly engaging in writing processes to plan, draft, evaluate, revise, and edit texts."
CCSS.W.5.5,"With guidance and support from peers and adults, develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach. (Editing for conventions should demonstrate command of Language standards 1-3 up to and including grade 5 here.)",BLOOM,BLOOM.3.1,Applying a procedure to a familiar task
CCSS.W.5.5,"With guidance and support from peers and adults, develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach. (Editing for conventions should demonstrate command of Language standards 1-3 up to and including grade 5 here.)",BLOOM,BLOOM.4.2,Determining how elements fit or function within a structure
CCSS.W.5.5,"With guidance and support from peers and adults, develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach. (Editing for conventions should demonstrate command of Language standards 1-3 up to and including grade 5 here.)",BLOOM,BLOOM.6.2,Devising a procedure for accomplishing some task
CCSS.W.5.5,"With guidance and support from peers and adults, develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach. (Editing for conventions should demonstrate command of Language standards 1-3 up to and including grade 5 here.)",TEKS,TEKS.ELAR.5.11(A),"A) plan a first draft by selecting a genre for a particular topic, purpose, and audience using a range of strategies such as brainstorming, freewriting, and mapping"
CCSS.W.5.5,"With guidance and support from peers and adults, develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach. (Editing for conventions should demonstrate command of Language standards 1-3 up to and including grade 5 here.)",TEKS,TEKS.ELAR.5.11(C),"(C) revise drafts to improve sentence structure and word choice by adding, deleting, combining, and rearranging ideas for coherence and clarity"
CCSS.W.5.5,"With guidance and support from peers and adults, develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach. (Editing for conventions should demonstrate command of Language standards 1-3 up to and including grade 5 here.)",TEKS,TEKS.ELAR.5.11(D),"(D) edit drafts using standard English conventions, including:"
CCSS.W.5.5,"With guidance and support from peers and adults, develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach. (Editing for conventions should demonstrate command of Language standards 1-3 up to and including grade 5 here.)",BEST,BEST.ELA.5.C.1.5,"Improve writing by planning, revising, and editing, with guidance and support from adults and feedback from peers."
CCSS.W.5.5,"With guidance and support from peers and adults, develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach. (Editing for conventions should demonstrate command of Language standards 1-3 up to and including grade 5 here.)",BEST,BEST.ELA.K12.EE.5.1,Use the accepted rules governing a specific format to create quality work.
CCSS.W.5.5,"With guidance and support from peers and adults, develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach. (Editing for conventions should demonstrate command of Language standards 1-3 up to and including grade 5 here.)",GSE,5.P.EICC.4,"**Writing Processes** Compose a range of texts for a variety of purposes and audiences, flexibly engaging in writing processes to plan, draft, evaluate, revise, and edit texts."
CCSS.W.5.6,"With some guidance and support from adults, use technology, including the Internet, to produce and publish writing as well as to interact and collaborate with others; demonstrate sufficient command of keyboarding skills to type a minimum of two pages in a single sitting.",BLOOM,BLOOM.6.2,Devising a procedure for accomplishing some task
CCSS.W.5.6,"With some guidance and support from adults, use technology, including the Internet, to produce and publish writing as well as to interact and collaborate with others; demonstrate sufficient command of keyboarding skills to type a minimum of two pages in a single sitting.",BLOOM,BLOOM.6.3,Inventing a product
CCSS.W.5.6,"With some guidance and support from adults, use technology, including the Internet, to produce and publish writing as well as to interact and collaborate with others; demonstrate sufficient command of keyboarding skills to type a minimum of two pages in a single sitting.",TEKS,TEKS.ELAR.5.11(E),(E) publish written work for appropriate audiences.
CCSS.W.5.6,"With some guidance and support from adults, use technology, including the Internet, to produce and publish writing as well as to interact and collaborate with others; demonstrate sufficient command of keyboarding skills to type a minimum of two pages in a single sitting.",TEKS,TEKS.ELAR.5.13(H),"(H) use an appropriate mode of delivery, whether written, oral, or multimodal, to present results."
CCSS.W.5.6,"With some guidance and support from adults, use technology, including the Internet, to produce and publish writing as well as to interact and collaborate with others; demonstrate sufficient command of keyboarding skills to type a minimum of two pages in a single sitting.",BEST,BEST.ELA.5.C.5.1,Arrange multimedia elements to create emphasis and/or clarity in oral or written tasks.
CCSS.W.5.6,"With some guidance and support from adults, use technology, including the Internet, to produce and publish writing as well as to interact and collaborate with others; demonstrate sufficient command of keyboarding skills to type a minimum of two pages in a single sitting.",BEST,BEST.ELA.K12.EE.5.3,Use appropriate voice and tone when speaking or writing
CCSS.W.5.6,"With some guidance and support from adults, use technology, including the Internet, to produce and publish writing as well as to interact and collaborate with others; demonstrate sufficient command of keyboarding skills to type a minimum of two pages in a single sitting.",GSE,5.P.CP.2,**Presentation** Use presentation skills to tailor communication to target audiences for specific purposes.
CCSS.W.5.7,Conduct short research projects that use several sources to build knowledge through investigation of different aspects of a topic.,BLOOM,BLOOM.2,"Construct meaning from instructional messages, including oral, written, and graphic communication"
CCSS.W.5.7,Conduct short research projects that use several sources to build knowledge through investigation of different aspects of a topic.,BLOOM,BLOOM.2.2,Finding a specific example or illustration of a concept or principle
CCSS.W.5.7,Conduct short research projects that use several sources to build knowledge through investigation of different aspects of a topic.,BLOOM,BLOOM.6.1,Coming up with alternative hypotheses based on criteria
CCSS.W.5.7,Conduct short research projects that use several sources to build knowledge through investigation of different aspects of a topic.,BLOOM,BLOOM.6.2,Devising a procedure for accomplishing some task
CCSS.W.5.7,Conduct short research projects that use several sources to build knowledge through investigation of different aspects of a topic.,TEKS,TEKS.ELAR.5.13(A),(A) generate and clarify questions on a topic for formal and informal inquiry
CCSS.W.5.7,Conduct short research projects that use several sources to build knowledge through investigation of different aspects of a topic.,TEKS,TEKS.ELAR.5.13(B),(B) develop and follow a research plan with adult assistance
CCSS.W.5.7,Conduct short research projects that use several sources to build knowledge through investigation of different aspects of a topic.,TEKS,TEKS.ELAR.5.13(C),(C) identify and gather relevant information from a variety of sources
CCSS.W.5.7,Conduct short research projects that use several sources to build knowledge through investigation of different aspects of a topic.,TEKS,TEKS.ELAR.5.13(E),(E) demonstrate understanding of information gathered
CCSS.W.5.7,Conduct short research projects that use several sources to build knowledge through investigation of different aspects of a topic.,BEST,BEST.ELA.5.C.4.1,"Conduct research to answer a question, organizing information about the topic and using multiple reliable and valid sources."
CCSS.W.5.7,Conduct short research projects that use several sources to build knowledge through investigation of different aspects of a topic.,GSE,5.T.RA.1,"**Research & Inquiry** Conduct research to ask and answer questions that clarify, deepen, and extend understanding of a topic of interest using credible sources and communicating relevant and accurate information."
CCSS.W.5.8,"Recall relevant information from experiences or gather relevant information from print and digital sources; summarize or paraphrase information in notes and finished work, and provide a list of sources.",BLOOM,BLOOM.2,"Construct meaning from instructional messages, including oral, written, and graphic communication"
CCSS.W.5.8,"Recall relevant information from experiences or gather relevant information from print and digital sources; summarize or paraphrase information in notes and finished work, and provide a list of sources.",BLOOM,BLOOM.2.2,Finding a specific example or illustration of a concept or principle
CCSS.W.5.8,"Recall relevant information from experiences or gather relevant information from print and digital sources; summarize or paraphrase information in notes and finished work, and provide a list of sources.",BLOOM,BLOOM.2.3,Determining that something belongs to a category
CCSS.W.5.8,"Recall relevant information from experiences or gather relevant information from print and digital sources; summarize or paraphrase information in notes and finished work, and provide a list of sources.",BLOOM,BLOOM.2.5,Drawing a logical conclusion from presented information
CCSS.W.5.8,"Recall relevant information from experiences or gather relevant information from print and digital sources; summarize or paraphrase information in notes and finished work, and provide a list of sources.",BLOOM,BLOOM.3.1,Applying a procedure to a familiar task
CCSS.W.5.8,"Recall relevant information from experiences or gather relevant information from print and digital sources; summarize or paraphrase information in notes and finished work, and provide a list of sources.",TEKS,TEKS.ELAR.5.13(C),(C) identify and gather relevant information from a variety of sources
CCSS.W.5.8,"Recall relevant information from experiences or gather relevant information from print and digital sources; summarize or paraphrase information in notes and finished work, and provide a list of sources.",TEKS,TEKS.ELAR.5.13(D),(D) understand credibility of primary and secondary sources
CCSS.W.5.8,"Recall relevant information from experiences or gather relevant information from print and digital sources; summarize or paraphrase information in notes and finished work, and provide a list of sources.",TEKS,TEKS.ELAR.5.13(E),(E) demonstrate understanding of information gathered
CCSS.W.5.8,"Recall relevant information from experiences or gather relevant information from print and digital sources; summarize or paraphrase information in notes and finished work, and provide a list of sources.",TEKS,TEKS.ELAR.5.13(G),(G) develop a bibliography; and
CCSS.W.5.8,"Recall relevant information from experiences or gather relevant information from print and digital sources; summarize or paraphrase information in notes and finished work, and provide a list of sources.",TEKS,TEKS.ELAR.5.6(E),"(E) make connections to personal experiences, ideas in other texts, and society"
CCSS.W.5.8,"Recall relevant information from experiences or gather relevant information from print and digital sources; summarize or paraphrase information in notes and finished work, and provide a list of sources.",TEKS,TEKS.ELAR.5.7(E),"(E) interact with sources in meaningful ways such as notetaking, annotating, freewriting, or illustrating"
CCSS.W.5.8,"Recall relevant information from experiences or gather relevant information from print and digital sources; summarize or paraphrase information in notes and finished work, and provide a list of sources.",BEST,BEST.ELA.5.C.4.1,"Conduct research to answer a question, organizing information about the topic and using multiple reliable and valid sources."
CCSS.W.5.8,"Recall relevant information from experiences or gather relevant information from print and digital sources; summarize or paraphrase information in notes and finished work, and provide a list of sources.",GSE,5.T.RA.1.b,"<i>Conduct research by locating, gathering, curating, and integrating information from multiple credible sources, including print, digital, and personal communication, about a self-selected topic. (I)"
CCSS.W.5.9,"Draw evidence from literary or informational texts to support analysis, reflection, and research.",BLOOM,BLOOM.2.2,Finding a specific example or illustration of a concept or principle
CCSS.W.5.9,"Draw evidence from literary or informational texts to support analysis, reflection, and research.",BLOOM,BLOOM.2.6,"Detecting correspondences between two ideas, objects and the like"
CCSS.W.5.9,"Draw evidence from literary or informational texts to support analysis, reflection, and research.",TEKS,TEKS.ELAR.5.7(B),"(B) write responses that demonstrate understanding of texts, including comparing and contrasting ideas across a variety of sources"
CCSS.W.5.9,"Draw evidence from literary or informational texts to support analysis, reflection, and research.",TEKS,TEKS.ELAR.5.7(C),(C) use text evidence to support an appropriate response
CCSS.W.5.9,"Draw evidence from literary or informational texts to support analysis, reflection, and research.",BEST,BEST.ELA.5.C.4.1,"Conduct research to answer a question, organizing information about the topic and using multiple reliable and valid sources."
CCSS.W.5.9,"Draw evidence from literary or informational texts to support analysis, reflection, and research.",BEST,BEST.ELA.K12.EE.1.1,Cite evidence to explain and justify reasoning
CCSS.W.5.9,"Draw evidence from literary or informational texts to support analysis, reflection, and research.",GSE,5.T.RA.2,"**Curating Sources & Evidence** Integrate evidence from print and digital sources, assessing credibility and relevance and avoiding plagiarism."
CCSS.W.5.4,"Produce clear and coherent writing in which the development and organization are appropriate to task, purpose, and audience. (Grade-specific expectations for writing types are defined in standards 1-3 above.)",BLOOM,BLOOM.6.3,Inventing a product
CCSS.W.5.4,"Produce clear and coherent writing in which the development and organization are appropriate to task, purpose, and audience. (Grade-specific expectations for writing types are defined in standards 1-3 above.)",TEKS,TEKS.ELAR.5.11(B)(i),"(B) develop drafts into a focused, structured, and coherent piece of writing by: (i) organizing with purposeful structure, including an introduction, transitions, and a conclusion; and"
CCSS.W.5.4,"Produce clear and coherent writing in which the development and organization are appropriate to task, purpose, and audience. (Grade-specific expectations for writing types are defined in standards 1-3 above.)",TEKS,TEKS.ELAR.5.11(B)(ii),"(B) develop drafts into a focused, structured, and coherent piece of writing by: (ii) developing an engaging idea reflecting depth of thought with specific facts and details"
CCSS.W.5.4,"Produce clear and coherent writing in which the development and organization are appropriate to task, purpose, and audience. (Grade-specific expectations for writing types are defined in standards 1-3 above.)",TEKS,TEKS.ELAR.5.11(E),(E) publish written work for appropriate audiences.
CCSS.W.5.4,"Produce clear and coherent writing in which the development and organization are appropriate to task, purpose, and audience. (Grade-specific expectations for writing types are defined in standards 1-3 above.)",BEST,BEST.ELA.K12.EE.5.1,Use the accepted rules governing a specific format to create quality work.
CCSS.W.5.4,"Produce clear and coherent writing in which the development and organization are appropriate to task, purpose, and audience. (Grade-specific expectations for writing types are defined in standards 1-3 above.)",BEST,BEST.ELA.K12.EE.5.3,Use appropriate voice and tone when speaking or writing
CCSS.W.5.5,"With guidance and support from peers and adults, develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach. (Editing for conventions should demonstrate command of Language standards 1-3 up to and including grade 5 here.)",BLOOM,BLOOM.3.1,Applying a procedure to a familiar task
CCSS.W.5.5,"With guidance and support from peers and adults, develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach. (Editing for conventions should demonstrate command of Language standards 1-3 up to and including grade 5 here.)",BLOOM,BLOOM.4.2,Determining how elements fit or function within a structure
CCSS.W.5.5,"With guidance and support from peers and adults, develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach. (Editing for conventions should demonstrate command of Language standards 1-3 up to and including grade 5 here.)",BLOOM,BLOOM.6.2,Devising a procedure for accomplishing some task
CCSS.W.5.5,"With guidance and support from peers and adults, develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach. (Editing for conventions should demonstrate command of Language standards 1-3 up to and including grade 5 here.)",TEKS,TEKS.ELAR.5.11(A),"A) plan a first draft by selecting a genre for a particular topic, purpose, and audience using a range of strategies such as brainstorming, freewriting, and mapping"
